State,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients breathing improved,How often patients wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,How often home health patients had to be admitted to the hospital,Lbl: Poor Hosp Rating 1SD,Lbl: Poor Hosp Rating 2SD,Lbl: Poor ER Rating 1SD,Lbl: Poor ER Rating 2SD,Lbl: Poor Pain Rating 1SD,Lbl: Poor Pain Rating 2SD,Lbl: Poor Drugs Rating 1SD,Lbl: Poor Drugs Rating 2SD
IL,SKOKIE,60077,8474100240,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/26/2004,98,100,99,100,70,74,100,100,100,95,100,100,100,100,98,100,,95,7,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60659,7737286614,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/19/2004,94,98,100,96,78,69,82,86,85,95,80,75,63,85,82,86,,69,16,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,SKOKIE,60076,8476746796,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/10/2004,95,99,100,98,64,45,100,100,100,100,99,40,43,56,86,68,,33,12,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,BOLINGBROOK,60440,6306790382,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/31/2004,83,82,100,98,67,61,100,97,100,100,95,58,41,61,68,53,,34,11,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60646,7737752588,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/23/2004,60,56,97,97,57,25,100,100,100,98,98,53,45,58,59,53,,62,14,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,LA GRANGE,60525,7083544405,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/22/2004,100,100,100,33,65,83,100,99,100,100,96,39,93,95,99,100,,86,8,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,NORTHFIELD,60093,8474415020,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/21/2004,97,98,100,100,87,91,93,100,99,98,100,55,64,68,84,74,90,51,10,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,GLENVIEW,60025,8475681033,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/30/2004,88,100,100,100,64,71,100,100,100,100,100,60,49,89,72,56,,58,8,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60655,7732334888,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/25/2004,97,98,100,97,59,48,96,100,99,91,100,70,65,73,93,75,,62,13,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,FRANKLIN PARK,60131,8476716563,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/04/2004,71,68,97,94,55,28,84,94,99,100,78,68,51,67,57,69,,54,11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60638,7735854100,Local,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/29/2004,100,100,100,100,57,55,100,100,100,100,100,53,37,58,95,43,,31,9,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,ROLLING MDWS,60008,7736850017,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/23/2004,96,100,100,99,55,52,90,100,99,76,97,78,73,93,100,90,,52,19,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,MAYWOOD,60153,7084565601,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/02/2005,99,93,100,97,19,8,98,97,97,92,98,49,34,70,79,29,,20,21,17,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
IL,SKOKIE,60077,8472974444,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/14/2005,99,100,100,100,84,83,100,100,100,100,100,68,65,74,84,68,89,62,9,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,HOMEWOOD,60430,7732853223,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,02/14/2005,81,92,100,98,25,17,100,100,100,100,87,52,53,77,75,42,,28,15,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,CHICAGO,60659,7734333320,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/25/2005,98,97,100,100,46,47,98,100,100,95,100,56,41,61,46,50,,43,9,13,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IL,DECATUR,62526,2174239860,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,03/24/2005,82,52,99,93,77,68,72,97,88,88,97,66,61,67,71,76,97,58,15,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,ADDISON,60101,6308332486,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/01/2005,81,96,100,95,63,68,100,98,100,100,100,65,46,62,73,66,,49,7,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60616,3128421400,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/11/2005,97,94,99,96,68,46,99,95,98,100,94,57,44,48,34,39,,54,7,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IL,NAPERVILLE,60563,6303698450,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/28/2005,92,96,100,100,80,79,80,100,93,86,100,59,47,56,59,41,93,44,11,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,DES PLAINES,60016,8472980008,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/04/2005,92,100,99,100,58,52,98,98,99,96,97,63,53,62,71,72,,50,10,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,SKOKIE,60077,8476744940,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/09/2005,93,99,99,99,55,60,98,100,100,99,100,52,53,66,80,63,,54,12,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60613,7733389900,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/05/2005,73,98,99,96,35,37,95,98,100,99,89,69,61,81,89,60,,44,14,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,LOMBARD,60148,3126043740,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/09/2005,94,87,97,94,68,67,93,93,98,95,93,61,53,65,75,67,87,51,12,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,SKOKIE,60077,8473297050,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/02/2005,97,98,100,100,51,85,100,100,100,100,99,62,38,76,96,52,,43,5,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,FOX RIVER GROVE,60021,8477425757,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/17/2005,80,69,99,86,71,69,89,99,99,99,99,55,52,59,71,65,95,49,12,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,SOUTH HOLLAND,60473,7083922000,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/22/2005,90,98,100,99,80,82,98,100,100,100,100,68,59,69,60,73,96,62,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,DES PLAINES,60016,8478036993,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/17/2005,96,100,100,100,23,7,100,100,100,100,100,55,44,48,53,44,,42,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60659,7738788738,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/14/2005,76,96,100,97,66,55,91,99,99,61,94,65,67,83,75,67,,33,13,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,PARK RIDGE,60068,8476350500,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/04/2005,88,98,99,97,57,41,99,100,100,97,95,52,36,62,93,55,,25,12,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,LINCOLNWOOD,60712,8477681050,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/08/2005,99,100,100,100,58,58,100,100,100,100,100,58,53,68,77,64,,52,8,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,NAPERVILLE,60540,6305482126,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/08/2005,97,94,100,100,70,72,96,100,99,98,99,75,62,72,84,83,91,65,13,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,FLOSSMOOR,60422,7087980800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/09/2005,97,98,100,100,81,74,99,100,99,99,100,65,65,67,68,69,94,64,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,NILES,60714,8475816188,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/11/2005,80,58,100,80,57,48,82,100,98,95,87,47,40,55,40,29,,35,17,9,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
IL,CHICAGO,60640,3126425500,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/02/2005,75,92,96,95,65,72,97,95,93,97,94,39,34,59,69,50,48,47,22,17,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IL,ORLAND PARK,60467,7084796555,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/29/2005,99,100,100,100,57,63,100,100,100,100,100,66,51,85,100,90,,63,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,LAKE IN THE HILLS,60156,8478540186,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/09/2005,97,73,100,94,49,53,81,96,97,93,97,62,60,63,61,69,86,52,12,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60630,7737777570,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/12/2005,79,98,100,98,61,73,99,100,99,97,99,60,53,73,95,84,,58,10,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60607,3124216800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/12/2005,81,99,98,99,54,53,95,98,99,98,95,53,42,65,48,44,,55,10,21,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IL,ROLLING MDWS,60008,8477492390,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/30/2005,93,99,99,100,46,35,100,100,100,100,98,64,66,77,84,65,,42,9,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60639,7737226341,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/30/2005,99,88,97,76,6,4,83,79,90,64,67,52,30,34,31,24,,13,10,17,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
IL,CHICAGO,60616,3122257706,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/27/2005,89,98,100,99,48,43,100,100,100,100,100,59,61,66,91,71,,60,9,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,ELK GROVE VILLAGE,60007,8472901740,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/14/2005,96,99,100,99,55,39,99,100,100,93,100,69,53,77,97,77,,43,12,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,DES PLAINES,60018,8473756900,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/19/2005,85,99,100,100,88,77,100,100,100,100,99,56,55,62,84,71,,62,8,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,MIDLOTHIAN,60445,7085358609,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/20/2005,93,32,100,99,86,72,100,100,100,100,100,56,43,50,,,,,,,,,,,,,,
IL,CHICAGO,60646,7737778844,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/31/2005,96,100,100,100,67,48,100,100,100,100,99,57,65,74,97,87,98,54,11,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,NORTHBROOK,60062,8475624041,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/07/2005,98,100,100,100,38,41,98,100,100,96,100,66,40,83,100,68,99,59,10,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,OAK PARK,60302,7083832191,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/04/2005,91,97,100,100,36,34,94,94,100,100,89,33,55,64,73,,,,14,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
IL,CHICAGO,60646,7736859025,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/15/2005,87,96,100,99,55,42,99,100,100,100,99,67,45,65,57,39,,38,10,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,PALOS HILLS,60465,7089742000,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/21/2005,74,95,99,98,58,68,96,99,99,98,94,41,37,43,40,40,,49,12,13,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IL,CHICAGO,60634,7735455184,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/29/2005,87,99,99,99,49,38,100,99,100,94,100,70,60,87,92,69,,51,8,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60640,7737692820,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/30/2005,100,100,100,97,96,92,100,99,100,100,96,80,63,90,95,77,,65,16,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,SKOKIE,60076,8473245550,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,12/09/2005,98,100,89,99,54,54,100,100,100,100,100,51,65,59,84,72,,58,11,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60631,7736541690,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/04/2005,100,87,100,100,85,79,95,100,98,97,100,72,66,67,61,65,,48,11,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,ITASCA,60143,6302858302,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/18/2005,92,57,100,100,36,24,100,100,100,95,100,21,13,32,25,16,,0,8,18,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
IL,NILES,60714,8476853333,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/16/2005,92,99,100,100,60,65,100,100,100,100,98,55,33,58,76,54,,30,14,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,PALOS HILLS,60465,7085991313,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/04/2006,86,97,100,100,63,69,100,100,100,100,100,61,38,60,69,60,74,41,7,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60601,3122400960,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/22/2005,99,98,99,98,81,81,100,100,100,100,99,44,32,47,72,66,,25,,,,,,,FALSE,FALSE,TRUE,FALSE
IL,CHICAGO,60646,7737779271,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/06/2005,97,96,100,93,40,31,97,100,100,96,99,50,59,88,85,82,,70,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,SUMMIT,60501,8664558750,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/04/2006,20,100,100,100,63,57,81,97,100,100,100,50,47,47,53,16,,51,8,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,MOUNT PROSPECT,60056,8477493160,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/23/2006,88,96,100,99,60,49,99,100,100,99,99,87,88,76,94,83,,73,12,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,LINCOLNWOOD,60712,8475681480,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/25/2006,78,85,100,97,53,59,95,99,96,96,99,45,38,45,61,51,,46,5,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,NAPERVILLE,60563,6308524007,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/14/2006,93,99,100,99,74,73,97,99,100,100,100,38,50,51,65,59,,47,10,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,SKOKIE,60077,8476734110,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/22/2006,97,96,100,100,59,47,100,97,100,99,98,66,81,100,92,92,,70,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,EVERGREEN PARK,60805,7082292680,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/23/2006,88,96,100,96,32,28,99,98,99,99,93,59,49,60,63,64,,54,9,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,PARK RIDGE,60068,8472963950,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/21/2006,93,97,100,99,76,74,100,100,100,100,99,46,52,60,69,70,,58,7,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CRYSTAL LAKE,60012,8153014034,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/06/2006,86,98,100,99,89,91,96,97,100,98,100,45,47,58,66,53,,27,9,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,LINCOLNWOOD,60712,8478591190,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/07/2006,84,99,100,100,78,78,99,100,100,91,100,43,38,45,93,62,,22,7,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,CHICAGO,60660,7733387690,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/15/2006,83,99,100,96,56,45,99,100,99,99,100,61,60,73,83,75,,53,12,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,LINCOLNWOOD,60712,8476779662,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/08/2006,99,97,100,100,54,55,99,100,100,100,100,83,81,94,98,81,,82,9,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,TINLEY PARK,60477,7084816604,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/22/2006,98,99,100,100,55,59,100,100,100,100,100,83,100,90,95,88,,83,11,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,LINCOLNWOOD,60712,7735884000,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/27/2006,94,85,98,89,46,34,89,99,99,78,87,60,47,65,52,60,,41,8,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60634,7736253326,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/27/2006,98,99,100,98,63,27,100,100,100,71,99,81,73,79,81,80,,64,14,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,PALOS HEIGHTS,60463,7084483176,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/24/2006,97,97,100,99,84,83,97,100,98,98,100,57,49,57,55,65,94,49,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,ORLAND PARK,60467,7089957758,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/11/2006,95,98,100,99,61,61,100,100,100,100,99,80,74,85,97,92,,80,11,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,PARK RIDGE,60068,8478038550,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/11/2006,82,97,100,97,74,86,100,100,100,100,100,45,29,42,67,76,,47,15,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,NILES,60714,8475887700,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/12/2006,91,100,100,99,87,56,100,99,100,100,100,75,63,90,93,53,,69,13,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,DES PLAINES,60018,8477589020,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/14/2006,95,93,100,98,51,52,99,99,98,98,98,65,59,71,77,57,,44,16,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,GLENVIEW,60025,8472987139,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/17/2006,97,100,100,98,42,37,98,100,100,100,99,56,73,91,94,95,,83,13,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,HAZEL CREST,60429,7083316930,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,05/19/2006,90,100,99,100,70,61,98,99,100,98,100,70,54,83,82,77,,68,13,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,ROMEOVILLE,60446,6306553074,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/11/2006,97,92,100,98,79,77,95,99,99,97,96,44,42,60,75,64,,50,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,BOLINGBROOK,60440,6307599640,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/04/2006,88,95,100,98,38,40,100,100,100,100,90,58,45,70,75,45,,53,11,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,OAKBROOK TERRACE,60181,6307059030,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/25/2006,97,97,100,99,82,70,95,100,100,100,99,63,52,69,89,63,,55,14,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,WESTCHESTER,60154,7083381100,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/26/2006,99,100,100,100,29,90,100,100,100,95,98,33,100,100,92,96,,85,3,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,LINCOLNWOOD,60712,8476754640,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/30/2006,96,98,98,98,58,60,100,99,100,100,97,77,58,80,72,63,,49,10,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,NAPERVILLE,60563,6309225742,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/02/2006,93,99,100,99,95,95,97,100,96,95,100,63,57,69,70,68,97,55,12,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60607,3126249309,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/29/2006,89,73,100,100,59,59,100,98,100,100,86,86,74,85,73,74,,65,15,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CHICAGO,60618,7734787064,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/19/2006,99,98,98,93,59,57,100,97,100,100,79,56,36,51,72,57,,31,6,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,CHICAGO,60607,7732372655,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/02/2006,98,100,100,100,74,62,100,100,100,95,98,56,95,56,99,94,,,,,,,,,FALSE,FALSE,,
IL,CHICAGO,60643,7737798556,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/07/2006,99,85,100,99,97,98,100,100,100,100,99,72,33,74,48,71,,24,8,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
IL,GLENDALE HEIGHTS,60139,6305161240,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/21/2006,86,98,100,98,75,83,99,99,100,100,97,76,61,83,63,67,,63,11,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,CREST HILL,60435,8157303358,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/12/2006,98,100,100,100,60,55,100,100,98,99,100,,,41,,,,,,,,,,,,,,
IL,TINLEY PARK,60477,7084442300,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/13/2006,98,99,100,100,83,75,100,100,100,100,100,55,37,44,60,46,,33,6,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IL,NORTHBROOK,60062,8475040888,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/02/2006,99,100,100,100,30,36,100,100,100,100,100,73,81,86,86,71,100,79,6,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,MORTON GROVE,60053,8476635566,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/27/2006,100,100,100,100,90,73,100,100,100,95,100,47,43,81,78,56,,59,,,,,,,FALSE,FALSE,FALSE,FALSE
