State,City,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),Count of non-reported behaviours,Count of non-reported outcomes,Non-trad Chronic,Lbl: Poor Hosp Rating 1SD
PA,ERIE,Private,1,1,1,1,1,1,94,99,100,99,78,81,100,99,100,100,100,0,0,0,FALSE
TX,FORNEY,Proprietary,1,1,1,1,1,1,87,90,99,100,71,72,90,100,94,90,98,0,0,0,FALSE
FL,FORT LAUDERDALE,Proprietary,1,1,1,1,1,1,97,98,100,100,57,45,100,98,100,96,99,0,1,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,99,98,99,100,67,79,99,99,100,98,100,0,0,1,FALSE
FL,MIRAMAR,Proprietary,1,1,1,1,1,1,97,95,100,100,76,39,94,100,100,95,100,2,3,1,FALSE
TX,MISSOURI CITY,Proprietary,1,1,1,1,1,1,91,98,100,100,32,32,100,98,100,95,94,1,1,1,FALSE
CA,GLENDALE,Proprietary,1,1,1,1,1,1,95,99,100,100,45,13,100,99,99,100,94,0,1,1,FALSE
TX,HUNTSVILLE,Proprietary,1,1,1,1,1,1,92,94,99,99,85,86,92,98,93,85,99,0,1,1,FALSE
OH,CAMBRIDGE,Proprietary,1,1,1,1,1,1,99,99,99,98,75,80,99,99,100,99,97,0,0,0,FALSE
CA,TRACY,Proprietary,1,1,1,1,1,1,85,97,93,89,82,81,97,93,97,97,88,0,0,1,FALSE
OH,WAVERLY,Proprietary,1,1,1,1,1,1,94,92,98,99,79,84,100,97,100,100,99,0,0,1,FALSE
IL,URBANA,Proprietary,1,0,0,0,0,1,89,74,85,88,46,58,75,93,75,71,91,0,4,1,FALSE
IL,GALENA,State/County,1,1,1,1,1,1,91,89,99,100,78,85,93,98,95,58,98,0,0,0,FALSE
WI,SHELL LAKE,Proprietary,1,1,1,1,0,1,80,86,100,100,84,93,94,70,100,100,90,1,7,1,FALSE
SC,COLUMBIA,Proprietary,1,1,1,1,1,1,91,96,99,99,63,71,97,99,99,98,99,0,0,0,FALSE
TX,COPPELL,Proprietary,1,1,1,1,1,1,99,99,100,100,100,99,94,100,100,95,100,2,1,1,TRUE
WV,CHAPMANVILLE,Proprietary,1,1,1,1,0,1,94,92,100,100,72,69,92,100,95,97,100,0,0,0,TRUE
FL,SAINT PETERSBURG,Proprietary,1,1,1,1,1,1,94,90,100,98,36,34,91,99,97,96,96,0,0,0,FALSE
TN,SAVANNAH,Proprietary,1,1,1,1,1,1,86,89,99,99,69,69,93,99,96,94,100,0,0,0,FALSE
MO,FLORISSANT,Proprietary,1,1,1,1,1,1,90,97,99,99,71,75,97,99,99,96,99,0,0,0,TRUE
WY,MOORCROFT,Proprietary,1,1,1,1,1,1,80,78,100,98,70,71,100,97,100,100,95,0,1,1,FALSE
TX,TYLER,Proprietary,1,1,1,1,1,1,85,100,88,100,83,81,100,100,100,100,100,0,1,1,FALSE
CA,GLENDALE,Proprietary,1,1,1,1,1,1,99,98,100,100,95,97,100,100,100,95,95,1,1,1,FALSE
FL,VIRGINIA GARDENS,Proprietary,1,1,1,1,1,1,100,78,100,97,58,64,76,100,97,43,99,0,1,1,FALSE
FL,DAVIE,Proprietary,1,1,1,1,1,1,87,94,100,100,86,92,98,100,99,83,98,0,1,1,FALSE
MN,SAINT PAUL,Other,1,1,1,1,1,1,88,93,98,98,81,85,95,99,99,98,98,0,0,0,FALSE
IN,MUNSTER,Private,1,1,1,1,1,1,87,93,95,99,67,56,96,88,100,99,99,0,0,0,FALSE
NJ,MORRISTOWN,Private,1,1,1,1,1,1,90,94,96,97,80,80,96,100,100,100,100,0,0,0,FALSE
MN,INVER GROVE HEIGHTS,Proprietary,1,1,1,1,0,1,96,97,99,99,77,85,97,99,99,94,99,0,0,0,FALSE
CA,POMONA,Proprietary,1,1,1,1,1,1,85,90,98,97,94,80,100,97,100,100,97,0,1,1,FALSE
CA,MONTCLAIR,Proprietary,1,1,1,1,1,1,92,100,99,100,94,98,100,100,100,95,100,1,1,1,TRUE
IL,PLAINFIELD,Proprietary,1,1,1,1,1,1,89,83,100,100,56,65,100,98,99,100,99,0,1,1,FALSE
OH,CHARDON,Proprietary,1,1,1,1,1,1,98,100,99,100,77,90,98,100,99,100,100,0,0,0,TRUE
NM,CARLSBAD,Proprietary,1,1,1,1,1,1,96,95,99,96,89,90,92,100,100,100,100,0,1,1,FALSE
CA,VAN NUYS,Proprietary,1,1,1,1,1,1,99,98,100,100,34,26,100,99,99,95,99,1,1,1,FALSE
TX,EDINBURG,Proprietary,1,1,1,1,1,1,90,98,100,98,77,75,100,100,100,96,97,0,1,1,FALSE
OH,LANCASTER,Proprietary,1,1,1,1,1,1,88,55,95,99,74,74,91,100,96,95,100,0,0,0,FALSE
MN,STACY,Proprietary,1,1,1,1,0,1,81,89,97,92,68,83,96,97,100,94,100,0,1,1,TRUE
FL,PAHOKEE,Proprietary,1,1,1,1,1,1,95,87,100,98,75,48,94,71,98,84,94,0,0,1,FALSE
TX,LAREDO,Proprietary,1,1,1,1,1,0,91,99,96,52,2,0,95,99,100,100,70,0,1,1,FALSE
IN,BLOOMINGTON,Other,1,1,1,1,1,1,87,98,100,99,70,75,98,100,100,100,99,0,0,0,FALSE
FL,MIAMI,Proprietary,1,1,1,0,1,1,91,100,100,99,80,100,100,100,100,95,100,1,1,1,FALSE
TX,RICHMOND,Proprietary,1,1,1,1,1,1,53,82,88,39,4,8,94,98,100,95,82,2,1,1,FALSE
CA,CONCORD,Proprietary,1,1,1,1,1,1,75,90,99,97,83,79,86,99,98,95,98,0,0,0,FALSE
SC,COLUMBIA,Proprietary,1,1,1,1,1,1,83,57,99,92,71,55,64,99,74,72,98,0,0,1,FALSE
OH,COLUMBUS,Proprietary,1,1,1,1,0,1,88,96,99,93,63,55,96,94,99,98,99,0,1,1,FALSE
TX,TULIA,Private,1,1,1,1,0,1,97,86,100,100,79,86,100,98,99,100,89,0,1,1,FALSE
MI,SOUTHFIELD,Proprietary,1,1,1,1,1,1,73,98,100,100,80,68,100,100,100,100,98,0,1,1,FALSE
CA,LOS ANGELES,Proprietary,1,1,1,1,1,1,100,98,100,100,78,70,98,99,98,98,100,0,1,1,FALSE
CA,SAN LUIS OBISPO,Proprietary,1,1,1,1,1,1,95,91,100,100,70,69,97,99,99,99,98,0,0,0,FALSE
PA,NATRONA HEIGHTS,Proprietary,1,1,1,1,1,1,98,97,100,100,87,91,98,99,99,99,100,0,0,0,FALSE
OK,BROKEN ARROW,State/County,1,1,1,1,1,1,87,96,100,96,75,79,94,99,98,93,95,0,0,0,FALSE
NY,ENDICOTT,Private,1,1,1,1,1,1,84,100,99,95,64,44,97,100,100,100,96,0,1,1,FALSE
IL,ZION,Proprietary,1,1,1,1,1,1,89,82,100,99,39,45,94,100,99,83,100,0,1,1,FALSE
NE,OMAHA,Private,1,1,1,1,1,1,94,96,100,100,76,80,99,100,100,99,99,0,0,0,FALSE
FL,WEST PALM BEACH,Other,1,1,1,1,1,1,97,89,100,99,87,85,92,99,97,93,96,0,0,0,FALSE
MT,KALISPELL,Private,1,1,1,1,1,1,94,99,99,94,75,80,94,92,99,97,100,0,0,0,FALSE
IL,PALOS HEIGHTS,Proprietary,1,1,1,1,1,1,92,95,99,99,65,65,95,99,100,100,98,0,0,1,FALSE
IL,LISLE,Proprietary,1,1,1,1,1,1,94,98,100,100,78,71,98,100,100,97,100,0,1,1,FALSE
FL,TITUSVILLE,State/County,1,1,1,1,1,1,99,98,100,100,79,93,100,100,100,100,100,0,0,0,FALSE
MO,OZARK,Proprietary,1,1,1,1,1,1,90,68,100,72,92,92,90,100,100,100,99,0,1,1,FALSE
IL,LOMBARD,Proprietary,1,1,1,1,1,1,91,98,100,79,75,67,100,97,100,100,90,0,1,1,FALSE
KS,OVERLAND PARK,Proprietary,1,1,1,1,1,1,96,97,100,100,95,99,97,100,99,96,100,0,0,0,FALSE
VA,WOODBRIDGE,Proprietary,1,1,1,1,1,1,79,78,97,85,70,73,87,93,96,91,90,0,0,0,FALSE
PA,MONONGAHELA,Proprietary,1,1,1,1,1,1,98,90,99,99,85,87,86,100,95,94,99,0,0,0,FALSE
TX,EL PASO,Proprietary,1,1,1,1,1,1,83,91,100,100,47,45,84,100,99,90,100,0,0,1,TRUE
OR,LAKEVIEW,Other,1,1,0,1,1,1,80,63,100,100,70,88,94,100,98,95,100,3,3,1,TRUE
FL,LAKELAND,Proprietary,1,1,1,1,1,1,92,88,100,96,80,80,94,96,98,95,84,3,4,1,TRUE
IL,CHICAGO,Proprietary,1,1,1,1,1,1,97,97,100,99,47,43,99,99,100,98,98,0,0,0,FALSE
TN,PARSONS,Proprietary,1,1,0,1,1,1,97,97,100,100,74,80,98,100,100,100,100,0,0,0,FALSE
AZ,TEMPE,Proprietary,1,1,1,0,1,1,98,92,99,96,21,14,98,97,100,98,86,0,0,1,FALSE
GA,COVINGTON,Proprietary,1,1,1,1,1,1,90,93,91,97,60,55,94,99,98,96,99,0,0,0,FALSE
TX,LONGVIEW,Proprietary,1,1,1,1,1,1,92,92,97,98,89,93,91,99,97,95,97,1,1,1,FALSE
FL,DELRAY BEACH,Proprietary,1,1,1,1,0,1,89,84,99,99,86,84,84,98,100,97,91,0,0,1,FALSE
VA,FAIRFAX,Other,1,1,1,1,0,0,93,87,100,100,90,91,98,99,99,98,99,0,1,1,TRUE
MO,SAINT LOUIS,Proprietary,1,1,1,1,1,1,91,84,100,98,67,66,93,100,98,95,98,1,1,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,85,98,100,100,89,91,94,100,100,92,99,0,1,1,FALSE
MI,BROWNSTOWN,Proprietary,1,1,1,1,1,1,99,82,100,100,72,72,97,100,100,95,65,1,1,1,FALSE
WV,PARKERSBURG,Proprietary,1,1,1,1,1,1,92,98,92,100,88,91,99,99,99,99,100,0,0,0,FALSE
NC,GREENVILLE,Other,1,1,1,1,1,1,96,94,100,100,78,75,96,99,99,97,100,0,0,0,FALSE
TX,SAN BENITO,Proprietary,1,1,1,1,1,1,99,99,100,100,49,69,97,100,98,98,100,0,1,1,FALSE
IL,CHICAGO,Proprietary,1,1,1,1,1,1,78,89,100,97,68,70,87,99,99,99,99,0,1,1,FALSE
MA,NEWTON,Proprietary,1,1,1,1,1,1,98,99,100,100,47,70,100,100,100,100,100,0,1,1,FALSE
TX,GRAND PRAIRIE,Proprietary,1,1,1,1,1,1,74,32,100,100,100,88,94,100,100,95,88,2,2,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,88,95,99,100,95,95,96,99,100,94,96,0,0,1,FALSE
OH,MASON,Proprietary,1,1,1,1,0,1,93,77,100,99,32,39,96,100,100,97,93,0,1,1,FALSE
CA,MILPITAS,Proprietary,1,1,1,1,1,1,89,93,97,92,82,79,94,97,99,97,96,0,0,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,61,100,98,88,80,87,94,98,95,95,93,2,1,1,FALSE
MN,LITTLE FALLS,Religious Affiliations,1,1,1,1,1,1,99,100,100,100,91,99,100,100,100,100,100,0,0,0,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,90,100,100,100,83,75,100,100,100,100,100,0,1,1,FALSE
OK,TULSA,Proprietary,1,1,1,1,0,1,88,96,99,99,93,92,76,100,91,73,100,0,0,1,FALSE
TN,CHATTANOOGA,Proprietary,1,1,1,1,1,1,89,89,98,99,72,72,97,97,99,98,99,0,0,0,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,89,46,100,63,28,32,97,98,100,100,100,0,1,1,FALSE
OH,COLUMBUS,Proprietary,1,1,1,1,1,1,98,98,98,100,97,99,98,100,96,93,100,0,1,1,FALSE
KY,ELIZABETHTOWN,Proprietary,1,1,1,1,0,1,92,84,100,99,73,76,89,99,94,93,99,0,0,0,FALSE
UT,MURRAY,Proprietary,1,1,1,1,1,1,99,71,99,93,88,80,93,93,100,98,79,0,0,0,FALSE
CO,LAMAR,Local,1,1,1,1,0,1,92,73,99,87,73,75,93,94,99,98,83,0,0,1,FALSE
FL,MIAMI,Proprietary,1,1,1,1,1,1,100,99,100,99,100,99,100,100,100,100,99,0,1,1,FALSE
UT,AMERICAN FORK,Proprietary,1,1,1,1,1,1,75,87,100,97,77,83,78,100,98,94,96,0,1,1,FALSE
TX,DENISON,Proprietary,1,1,1,1,1,1,94,76,97,100,70,48,94,98,99,100,97,0,0,0,FALSE
UT,LAYTON,Proprietary,1,1,1,1,1,1,95,90,98,98,82,79,94,94,99,98,93,1,1,1,FALSE
PA,SHAVERTOWN,Proprietary,1,1,1,0,1,1,95,99,100,99,74,64,100,99,98,95,99,1,0,1,FALSE
CA,BURBANK,Proprietary,1,1,1,1,1,1,96,98,100,100,54,15,99,100,100,100,99,0,1,1,FALSE
OH,EUCLID,Proprietary,1,1,1,1,0,1,83,77,100,52,66,50,51,96,91,77,94,0,7,1,TRUE
IL,SUMMIT,Proprietary,1,1,1,1,1,1,20,100,100,100,63,57,81,97,100,100,100,0,1,1,FALSE
TN,BROWNSVILLE,Proprietary,1,1,1,1,1,1,83,81,97,97,63,67,91,98,96,96,97,0,0,0,FALSE
FL,PLANTATION,Proprietary,1,1,1,1,1,1,98,100,100,100,47,52,93,100,99,98,100,0,0,1,FALSE
MD,OWINGS MILLS,Proprietary,1,1,1,1,1,1,94,73,99,95,80,78,92,100,99,92,99,0,0,0,FALSE
OR,TIGARD,Proprietary,1,1,1,1,1,1,89,98,100,97,88,95,98,100,100,99,99,0,0,0,FALSE
TX,STAFFORD,Proprietary,1,1,1,1,1,1,87,97,100,97,76,95,46,100,100,59,90,0,1,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,96,99,100,100,49,52,99,100,99,100,100,0,1,1,TRUE
TX,CARROLLTON,Proprietary,1,1,1,1,1,1,75,95,100,96,84,86,98,100,99,98,98,0,0,0,FALSE
CA,IRVINE,Proprietary,1,1,1,1,1,1,88,89,99,97,67,70,96,98,99,99,100,0,0,0,FALSE
TX,RICHARDSON,Proprietary,1,1,1,1,1,1,98,94,100,88,77,89,99,100,100,99,100,0,0,1,FALSE
FL,ROCKLEDGE,Proprietary,1,1,1,1,0,1,85,100,98,95,71,38,94,97,100,95,93,3,0,1,FALSE
MD,SILVER SPRING,Religious Affiliations,1,1,1,1,1,1,98,100,100,100,84,86,100,100,100,100,100,0,0,0,FALSE
TN,TAZEWELL,Proprietary,1,1,1,1,1,1,97,99,95,100,81,79,98,100,99,97,100,0,0,0,FALSE
IL,CALUMET CITY,Proprietary,1,1,1,1,1,1,90,98,100,99,52,46,98,100,100,99,95,0,1,1,FALSE
CA,ARCADIA,Proprietary,1,1,1,1,1,1,93,98,100,100,80,58,95,90,100,100,100,0,1,1,FALSE
CA,SAN DIEGO,Proprietary,1,1,1,1,1,1,92,94,99,96,82,81,94,97,99,98,93,0,0,1,FALSE
NC,RALEIGH,Proprietary,1,1,1,1,1,1,95,96,100,94,93,98,96,99,99,96,100,0,1,1,FALSE
LA,MARKSVILLE,Proprietary,1,1,1,1,1,1,85,93,100,99,40,56,83,100,91,86,98,0,0,0,FALSE
OR,MOUNT ANGEL,Religious Affiliations,1,1,1,1,1,1,95,63,100,98,75,81,98,99,99,99,91,0,0,0,FALSE
OH,BEAVERCREEK,Proprietary,1,1,1,1,1,1,87,92,97,96,52,51,93,98,97,86,98,0,0,0,FALSE
FL,TAVARES,Proprietary,1,1,1,1,1,1,99,95,100,100,90,91,99,100,100,98,100,0,0,1,FALSE
KS,WICHITA,Religious Affiliations,1,1,1,1,1,1,97,99,100,100,79,87,100,100,100,100,100,0,0,0,FALSE
MA,CHELSEA,Other,1,1,1,1,1,1,95,80,99,91,70,51,85,98,99,97,97,0,1,1,FALSE
PA,SCRANTON,Proprietary,1,1,1,1,1,1,98,93,100,100,91,95,94,100,100,95,100,2,1,1,FALSE
TX,LA FERIA,Proprietary,1,1,1,1,1,1,91,68,100,100,50,57,84,100,87,72,96,0,1,1,FALSE
FL,PALATKA,Proprietary,1,1,1,1,1,1,91,93,100,98,74,76,89,100,99,93,99,0,0,0,FALSE
OK,WILBURTON,State/County,1,1,0,1,0,1,89,99,100,100,67,81,99,100,100,100,99,0,1,1,FALSE
FL,OCALA,Proprietary,1,1,1,1,1,1,90,88,99,98,74,70,81,99,94,92,97,0,0,0,FALSE
PA,BETHLEHEM,Proprietary,1,1,1,0,0,1,93,81,99,81,83,81,88,92,99,95,88,0,1,1,FALSE
IL,SKOKIE,Proprietary,1,1,1,1,1,1,92,98,100,100,41,64,100,100,100,100,100,0,1,1,FALSE
IL,MATTESON,Proprietary,1,1,1,1,1,1,96,91,98,100,80,87,96,100,100,99,97,0,1,1,FALSE
GA,BAXLEY,Proprietary,1,1,1,1,1,1,99,98,100,100,58,60,97,100,99,99,100,0,0,0,TRUE
CA,BAKERSFIELD,Proprietary,1,1,0,0,0,1,98,70,100,93,96,98,88,99,98,90,100,0,0,0,FALSE
GA,SMYRNA,Proprietary,1,1,1,1,1,1,91,91,100,96,45,55,94,99,98,93,100,0,1,1,FALSE
TX,DONNA,Proprietary,1,1,1,1,1,1,98,98,100,100,56,66,100,98,100,95,98,1,1,1,FALSE
TN,JELLICO,Religious Affiliations,1,1,1,0,0,1,97,100,100,95,92,96,100,100,100,100,100,0,0,0,FALSE
CO,PUEBLO,Proprietary,1,1,1,1,1,1,83,83,99,92,69,64,83,97,97,89,95,0,0,0,FALSE
MI,ROSEVILLE,Proprietary,1,1,1,1,1,1,90,95,100,100,81,85,96,100,99,99,99,0,1,1,FALSE
FL,PLANTATION,Proprietary,1,1,1,1,1,1,95,92,99,95,71,25,94,95,98,95,100,6,7,1,TRUE
AL,DADEVILLE,Proprietary,1,1,1,1,0,1,91,94,99,99,63,73,85,99,95,83,99,0,0,0,FALSE
TX,DALLAS,Proprietary,1,1,1,1,1,1,86,97,100,76,85,77,100,100,100,100,96,0,1,1,FALSE
CA,GLENDALE,Proprietary,1,1,1,1,1,1,91,99,99,100,100,100,100,100,100,100,90,0,1,1,FALSE
NC,LUMBERTON,Proprietary,1,1,1,1,1,1,71,93,100,99,71,72,99,100,100,98,99,0,0,1,FALSE
TX,WICHITA FALLS,Proprietary,1,1,1,1,0,1,95,99,100,99,76,83,100,100,100,95,97,1,0,1,FALSE
WI,EAU CLAIRE,Private,1,1,1,1,1,1,84,99,99,94,88,95,100,98,100,100,99,0,0,0,FALSE
NV,LAS VEGAS,Proprietary,1,1,1,1,1,1,85,67,100,98,61,44,61,100,85,98,99,0,0,1,FALSE
MD,BALTIMORE,Proprietary,1,1,1,1,1,1,99,100,100,100,67,76,100,100,100,100,100,0,1,1,FALSE
IL,ARLINGTON HEIGHTS,Other,1,1,1,1,1,1,93,100,100,100,82,87,99,98,99,97,98,0,0,0,FALSE
TX,LAREDO,Proprietary,1,1,1,1,1,1,75,97,100,93,59,35,97,99,100,99,96,0,1,1,FALSE
NM,ALBUQUERQUE,Religious Affiliations,1,1,1,1,1,1,85,96,100,98,88,87,100,99,100,100,99,0,1,1,FALSE
CA,SANTA BARBARA,Other,1,1,1,1,1,1,96,97,100,99,83,86,99,99,99,99,99,0,0,0,FALSE
NV,LAS VEGAS,Proprietary,1,1,1,1,1,1,96,97,100,100,77,84,100,100,100,100,99,0,1,1,FALSE
MI,HUNTINGTON WOODS,Proprietary,1,1,1,1,1,1,65,91,100,100,42,42,94,100,99,100,100,0,1,1,FALSE
VA,FALLS CHURCH,Proprietary,1,1,1,1,1,1,84,93,100,98,88,81,95,100,100,98,99,0,1,1,FALSE
MI,BINGHAM FARMS,Proprietary,1,1,1,1,1,1,89,100,99,100,91,100,94,100,96,100,100,2,3,1,TRUE
AL,OPELIKA,Proprietary,1,1,1,1,1,1,96,85,91,99,61,72,95,99,100,100,99,0,0,0,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,96,99,100,100,67,70,100,100,99,100,99,0,0,1,FALSE
OK,SHAWNEE,Proprietary,1,1,1,1,1,1,98,98,100,100,82,91,100,100,100,100,100,0,1,1,FALSE
WA,TACOMA,Proprietary,1,1,1,1,1,1,66,91,98,95,57,64,90,98,96,92,99,0,0,0,FALSE
IL,CHICAGO,Proprietary,1,1,1,1,1,1,89,100,98,100,50,30,100,96,100,100,96,0,1,1,FALSE
FL,MIAMI LAKES,Proprietary,1,1,1,1,1,1,100,100,100,100,87,89,100,100,100,100,100,0,0,1,FALSE
LA,MANDEVILLE,Proprietary,1,1,1,1,1,1,94,98,100,99,67,88,98,100,99,99,99,0,1,1,FALSE
TX,VICTORIA,Proprietary,1,1,1,1,1,1,92,100,100,100,79,77,100,99,100,100,98,0,1,1,FALSE
MT,MALTA,Other,1,1,1,1,0,1,89,79,100,86,79,42,94,98,90,67,96,1,2,1,FALSE
TX,CORPUS CHRISTI,Proprietary,1,1,1,1,1,1,94,95,100,100,61,71,90,99,95,94,97,0,1,1,FALSE
UT,MURRAY,Proprietary,1,1,1,1,1,1,86,100,100,100,71,86,94,100,100,100,100,1,1,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,96,99,100,100,69,79,99,99,100,100,100,0,1,1,FALSE
WA,BELLEVUE,Proprietary,1,1,1,1,1,1,73,80,98,96,83,85,90,98,98,96,95,0,0,0,FALSE
VA,FISHERSVILLE,Private,1,1,1,1,1,1,93,98,100,99,75,86,99,99,99,98,100,0,0,0,FALSE
GA,COLUMBUS,Proprietary,1,1,1,1,1,1,80,94,98,95,76,73,97,99,99,97,96,0,0,1,FALSE
NC,CHAPEL HILL,State/County,1,1,1,1,1,1,87,98,100,97,71,79,97,99,100,98,99,0,0,0,FALSE
CA,LOS ANGELES,Proprietary,1,1,1,1,1,1,96,98,100,100,77,67,99,100,100,100,100,0,0,0,FALSE
FL,TAMPA,Proprietary,1,1,1,0,1,1,99,98,100,96,90,95,91,100,100,95,100,1,1,1,FALSE
FL,MIAMI,Proprietary,1,1,1,0,1,1,98,99,100,100,72,65,95,100,100,95,99,1,1,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,93,97,100,100,99,97,94,100,100,100,100,0,0,1,FALSE
FL,SAINT AUGUSTINE,Proprietary,1,1,1,1,1,1,96,97,100,100,81,82,97,100,100,100,100,0,0,1,FALSE
DE,NEWARK,Proprietary,1,1,1,1,1,1,85,98,99,98,76,79,98,100,100,100,99,0,0,0,FALSE
WA,GOLDENDALE,State/County,1,1,1,0,1,1,84,91,100,92,73,72,91,99,97,96,100,0,0,1,FALSE
MS,CLARKSDALE,Proprietary,1,1,1,1,1,1,93,94,99,100,70,81,97,100,100,99,99,0,0,0,FALSE
CA,LOS ANGELES,Proprietary,1,1,1,1,1,1,94,98,100,100,93,50,100,100,100,100,100,0,0,1,FALSE
LA,NEW IBERIA,Proprietary,1,1,1,1,1,1,92,87,99,97,60,61,97,99,99,96,98,0,1,1,FALSE
OH,DAYTON,Proprietary,1,1,1,1,1,1,91,96,98,96,55,53,93,100,96,94,91,0,1,1,FALSE
MI,SOUTHFIELD,Proprietary,1,1,1,1,1,1,65,100,100,100,95,91,100,91,99,96,100,0,1,1,FALSE
CA,LA MIRADA,Proprietary,1,1,1,1,1,1,99,100,100,100,99,99,100,100,100,100,100,0,1,1,FALSE
UT,CEDAR CITY,Other,1,1,1,1,1,1,85,96,99,100,71,77,100,98,99,95,100,1,1,1,FALSE
FL,OKEECHOBEE,Proprietary,1,1,1,1,1,1,66,93,100,100,0,1,98,99,100,100,100,0,0,1,FALSE
TX,SAN ANTONIO,Proprietary,1,1,1,1,1,1,69,45,97,100,100,98,93,100,100,100,95,0,5,1,TRUE
CA,WEST COVINA,Proprietary,1,1,1,1,1,1,90,87,100,88,57,57,98,97,100,100,97,0,1,1,FALSE
TX,KATY,Proprietary,1,1,1,1,1,1,98,100,100,100,33,28,94,100,100,96,88,1,1,1,FALSE
CO,BUENA VISTA,Proprietary,1,1,1,1,1,1,86,95,100,93,71,77,92,97,100,95,98,0,0,1,FALSE
CT,FARMINGTON,Proprietary,1,1,1,1,1,1,91,90,100,99,70,63,96,99,100,97,99,0,0,0,FALSE
TX,CARROLLTON,Proprietary,1,1,1,1,1,1,86,93,97,100,88,74,96,96,100,95,70,1,3,1,FALSE
TX,MISSION,Proprietary,1,1,1,1,1,1,91,99,100,96,91,89,97,100,100,95,99,0,0,1,FALSE
TX,IRVING,Proprietary,1,1,1,1,1,1,71,100,100,92,86,94,98,100,100,99,97,0,1,1,FALSE
PA,BALA,Other,1,1,1,1,1,1,85,94,97,98,64,57,99,99,99,97,100,0,0,0,FALSE
MI,LATHRUP VILLAGE,Proprietary,1,1,1,1,1,1,54,75,100,100,80,76,100,100,100,100,99,0,1,1,FALSE
MI,MADISON HEIGHTS,Proprietary,1,1,1,1,1,1,90,100,100,100,78,74,100,100,100,100,100,0,0,0,FALSE
VA,ANNANDALE,Proprietary,1,1,1,1,1,1,94,44,99,92,69,72,49,91,91,70,90,0,1,1,FALSE
FL,WEST PALM BEACH,Proprietary,1,1,1,1,1,1,95,88,100,98,58,50,91,98,99,97,98,0,0,1,FALSE
TX,MOUNT PLEASANT,Proprietary,1,1,1,1,1,1,98,99,100,100,78,82,99,100,100,99,99,0,0,0,FALSE
AZ,PHOENIX,Other,1,1,1,1,1,1,73,91,100,78,46,35,100,97,98,100,100,0,1,1,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,91,81,100,97,4,9,94,94,58,95,83,2,7,1,FALSE
VA,WINCHESTER,Proprietary,1,1,1,1,1,1,85,94,100,99,91,93,97,99,99,99,100,0,1,1,FALSE
MI,SOUTHFIELD,Proprietary,1,1,1,1,1,1,73,89,100,99,85,80,96,97,98,95,99,0,1,1,TRUE
NC,SALISBURY,Proprietary,1,1,1,1,1,1,97,92,100,94,52,59,86,99,95,90,99,0,0,1,FALSE
MI,CARSON CITY,Private,1,1,1,1,1,1,96,94,100,100,76,85,100,100,100,100,98,0,0,0,FALSE
ID,AMMON,Proprietary,1,1,1,0,1,1,100,88,100,98,78,76,94,98,97,96,98,1,1,1,FALSE
OH,LIMA,Religious Affiliations,1,1,1,1,1,1,88,89,97,96,53,59,98,99,99,97,96,0,0,0,FALSE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,80,71,96,84,57,14,94,100,100,95,98,2,1,1,FALSE
TN,COLUMBIA,Proprietary,1,1,1,1,1,1,96,99,100,100,86,89,98,100,99,98,100,0,0,0,FALSE
OH,BELLEFONTAINE,State/County,1,1,1,1,0,1,97,95,99,99,72,60,95,100,98,97,99,0,0,1,TRUE
TX,HOUSTON,Proprietary,1,1,1,1,1,1,66,78,88,96,97,96,73,100,84,93,94,0,1,1,FALSE
IL,SOUTH HOLLAND,Proprietary,1,1,1,1,1,1,90,98,100,99,80,82,98,100,100,100,100,0,0,0,FALSE
TX,CORPUS CHRISTI,Proprietary,1,1,1,1,1,1,89,95,100,99,93,93,96,99,99,99,100,0,0,0,FALSE
NE,OMAHA,Proprietary,1,1,1,1,1,1,100,100,100,100,68,98,94,98,100,95,100,2,4,1,TRUE
OH,CINCINNATI,Other,1,1,1,1,1,1,98,100,100,100,90,95,99,100,100,100,99,0,0,0,FALSE
